,KID,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
10980,5167126,5446,4.79,0.9503,14.722999999999999,0.016,6214.5,1.249,0.674,0,---
10981,5167364,5508,4.56,0.9669,21.486,2.588,2442.6,0.40399999999999997,0.2989,0,---
10982,5167837,5193,4.57,0.8842,23.014,0.7290000000000001,5208.43,0.713,0.4877,0,---
10983,5167941,4792,4.34,0.7798,12.520999999999999,0.038,10129.03,1.1909999999999998,0.6406,0,---
10984,5168334,5182,4.25,0.8813,20.754,0.191,2210.02,0.76,0.4924,0,---
10985,5168524,4801,4.53,0.7822,11.345,0.091,12209.0,1.3259999999999998,0.7,0,---
10986,5168630,4781,4.84,0.7769,35.463,5.026,3276.11,0.46399999999999997,0.3006,0,---
10987,5168799,5528,4.38,0.9722,14.824000000000002,0.237,6808.16,1.058,0.6366,0,---
10988,5168890,5834,4.16,1.0575,14.142999999999999,0.08199999999999999,4322.32,1.054,0.6094,0,---
10989,5168931,4430,4.57,0.6805,22.744,0.522,7068.04,0.79,0.4833,0,---
10990,5171232,5451,4.51,0.9517,4.05,0.003,50705.85,1.7169999999999999,0.7823,0,---
10991,5171330,5079,4.61,0.8547,25.148000000000003,0.268,4516.96,0.706,0.4916,0,---
10992,5171478,5132,4.16,0.8684,11.115,0.094,8814.45,0.976,0.5375,0,---
10993,5171493,6289,4.24,1.2006,1.6540000000000001,0.036000000000000004,875.38,0.607,0.4072,0,---
10994,5171499,4946,4.73,0.8202,10.74,0.016,8876.5,1.17,0.6221,0,---
10995,5171623,5855,4.53,1.0636,11.359000000000002,0.139,1104.3,0.521,0.3606,0,---
10996,5171653,5531,4.34,0.973,4.843999999999999,0.027000000000000003,7070.3,1.117,0.605,0,---
10997,5171744,4741,4.47,0.7663,37.955999999999996,7.46,1401.19,0.415,0.2526,0,---
10998,5171909,5194,4.28,0.8845,22.14,3.173,3541.11,0.6,0.397,0,---
10999,5172170,5017,4.49,0.8387,20.913,0.1,7430.97,0.958,0.6054,0,---
11000,5172426,5597,4.53,0.9909,10.472000000000001,0.031,18339.63,1.375,0.7169,0,---
11001,5174424,5084,4.38,0.856,10.418,0.064,13080.84,1.062,0.573,0,---
11002,5174443,5701,4.49,1.0196,20.158,2.8089999999999997,4670.29,0.435,0.3257,0,---
11003,5174476,5063,4.59,0.8506,13.196,0.033,16085.51,1.288,0.7173,0,---
11004,5174847,6027,4.42,1.1153,24.326,0.109,1351.77,0.627,0.3494,0,---
11005,5174959,5587,4.56,0.9882,0.46799999999999997,0.004,19251.94,1.133,0.596,0,---
11006,5175379,5215,4.39,0.8899,17.930999999999997,0.095,9975.25,0.8909999999999999,0.5511,0,---
11007,5175427,5650,4.51,1.0055,24.183000000000003,2.783,1864.67,0.38,0.2596,0,---
11008,5175503,4772,4.43,0.7745,2.5660000000000003,0.003,27192.23,1.5859999999999999,0.7563,0,---
11009,5175576,5925,4.26,1.0843,13.648,0.16899999999999998,850.02,0.35600000000000004,0.27899999999999997,0,---
11010,5175607,6355,4.29,1.2235,1.5430000000000001,0.005,6534.76,1.469,0.7726,0,---
11011,5175667,4409,4.54,0.6744,34.345,0.415,6711.33,0.9009999999999999,0.4987,0,---
11012,5175758,5608,4.8,0.9939,11.927,0.054000000000000006,6546.8,1.187,0.6798,0,---
